sno,city,aqi,cig,lat,long,city_h
1,Ghaziabad,283,12,28.6695,77.45359,गाज़ियाबाद
2,Noida,213,10,28.53616,77.39084,नोएडा
3,Delhi,235,10,28.61656,77.20545,दिल्ली
4,Lucknow,158,7,26.8543,80.9446,लखनऊ
5,Gurugram,254,11,28.4602,77.02577,गुरुग्राम
6,Faridabad,220,10,28.40932,77.31721,फरीदाबाद
7,Varanasi,122,5,25.31799,82.9736,वाराणसी
8,Kanpur,268,12,26.45098,80.33144,कानपुर
9,Patna,133,6,25.59523,85.13847,पटना
10,Muzaffarpur,114,5,26.11994,85.39037,मुजफ्फरपुर
11,Mandi Gobindgarh,75,3,30.6651,76.29159,मंडी गोबिंदगढ़
12,Ludhiana,69,3,30.90414,75.85633,लुधियाना
13,Jodhpur,126,6,26.23971,73.02449,जोधपुर
14,Amritsar,61,3,31.63427,74.87211,अमृतसर
15,Ahmedabad,91,4,23.03166,72.56393,अहमदाबाद
16,Panchkula,41,2,30.69583,76.86036,पंचकुला
17,Gaya,70,3,24.7927,85.00041,गया
18,Nagpur,27,1,21.14668,79.08808,नागपुर
19,Vijaywada,32,1,16.5077,80.64788,विजयवाड़ा
20,Chandrapur,43,1,19.96275,79.29462,चंद्रपुर
21,Chennai,58,2,13.08427,80.27217,चेन्नई
22,Bhiwadi,103,4,28.20515,76.84491,भिवडी
23,Mumbai,44,2,19.07689,72.87658,मुंबई
24,Nashik,51,2,19.99873,73.78947,नासिक
25,Thane,41,2,19.21919,72.97796,थाइन
26,Aurangabad,48,2,19.8765,75.34213,औरंगाबाद
27,Hyderabad,56,2,17.38684,78.48643,हैदराबाद
28,Visakhapatnam,51,2,17.68815,83.21782,विशाखापत्तनम
29,Rajamahandevaram,44,2,17.00115,81.80474,राजामहंदवराम
30,Chittoor,11,0,13.21754,79.1001,चित्तूर
31,Bangalore,23,1,12.972,77.59355,बैंगलोर
32,Trivandrum,53,2,8.524057,76.93693,तिरुवनंतपुरम
